,rec1,rec2,rec3,rec4,rec5
0,12288,7119,5282,7371,16504
1,13509,10039,6035,5571,17005
2,1951,4373,16890,15102,654
3,10122,9289,8542,7484,6888
4,16092,16385,14654,3895,15530
5,16234,2368,16092,9577,900
6,17633,555,960,317,9505
7,8789,5481,724,2943,14006
8,1951,2939,4305,16019,16487
9,5481,12838,17079,341,3616
10,16695,9723,3763,1008,3278
11,6386,3138,12142,3809,10377
12,13145,15100,4279,14251,17288
13,17531,7067,10769,4318,7057
14,11801,5420,8517,13317,1951
15,1686,13575,8769,16269,15506
16,6386,16853,3138,10377,9673
17,6386,3138,2022,15053,10377
18,14654,13121,15821,13570,15779
19,6277,5553,10912,5552,10046
20,352,1011,357,526,715
21,329,6386,6886,3138,5715
22,10605,9324,15442,1877,12361
23,13509,2355,6268,13532,14514
24,10114,1611,17667,1686,1745
25,12575,2939,306,2913,2851
26,10114,15506,6849,14857,17682
27,13509,17273,11261,6268,14514
28,6386,16092,11333,12490,15674
29,13509,11261,6268,14514,5020
30,13807,7119,7371,14392,9899
31,6632,11316,2989,2052,8951
32,5988,15821,2590,6044,4309
33,5253,3767,7564,15190,2841
34,12795,5027,3763,9680,148
35,12575,3745,9289,13244,2939
36,6386,6886,3138,9577,900
37,17342,8665,12288,3193,12639
38,8892,15799,9615,16138,15638
39,14716,4521,9324,15442,17296
40,13896,7049,4428,11342,12686
41,8519,14600,12008,7663,12666
42,8449,16857,14654,2771,15530
43,4785,12982,10031,7883,17044
44,12575,8058,16789,13614,6093
45,8035,17710,61,502,16091
46,1951,2939,4305,3660,1138
47,6386,17062,15100,3138,10377
48,8449,7147,11298,14006,10250
49,6386,9193,3138,16259,10377
50,14336,1833,5282,2504,3027
51,5027,12795,5404,3763,9680
52,3190,5481,11650,10450,9444
53,13509,6268,2828,14514,5020
54,4428,13551,12686,11342,16665
55,7147,11298,4318,9920,8419
56,5027,232,3763,14615,3278
57,13295,8665,16350,5282,8649
58,13145,11298,4279,9920,4318
59,8380,10114,1611,15067,10966
60,13453,13615,11201,6559,3370
61,5481,8035,524,331,9328
62,12228,6277,4093,13036,2901
63,1833,16092,2851,14136,7119
64,16138,1138,11145,4428,10201
65,16691,14831,8158,11338,7560
66,17649,9193,16853,16259,15140
67,16695,9723,1008,3278,9857
68,9615,15799,16138,8892,5995
69,9377,9458,16254,306,2851
70,5344,8665,5370,3193,6268
71,6386,3138,10377,9673,14065
72,6386,3138,15674,5242,10377
73,13408,14937,8466,4146,8723
74,5027,3763,11606,3278,148
75,6386,9193,3138,15140,10377
76,11026,10222,3908,11338,11450
77,16269,10114,15506,1611,17667
78,13475,17342,17377,8151,1231
79,1951,4373,15102,5854,5020
80,16138,15799,15638,9341,15959
81,9622,4428,12686,11342,7661
82,2781,16472,16269,8380,1611
83,3573,3134,11432,16092,14671
84,8519,8112,12666,5500,16117
85,3138,13369,13719,13302,12079
86,10605,4001,11756,9324,2216
87,6386,3138,16259,16706,6662
88,3138,232,8126,148,14973
89,6386,3138,10377,9673,14065
90,16254,7067,15372,11298,14006
91,4506,4935,4509,13205,9205
92,15734,4847,14055,12573,1915
93,6386,3138,16259,10377,9673
94,13584,8107,14654,10853,2851
95,2434,5288,1808,16749,14195
96,8380,15506,11563,11387,15067
97,13509,15498,6268,14514,4174
98,11261,10577,11107,11638,8063
99,13963,8455,3763,10377,148
100,5404,3763,148,14942,5381
101,15799,9147,4428,11790,13551
102,15951,5027,3763,9680,3278
103,6386,14625,3763,8126,14973
104,8419,9147,4428,11342,12686
105,13509,16796,13181,16073,6268
106,13509,6627,6268,7476,13350
107,6386,3138,12490,15053,15674
108,10977,12408,2375,5640,13205
109,7067,15552,14006,4279,5573
110,13509,6268,2277,14514,5020
111,7293,6300,10769,14006,4318
112,13892,4825,16784,15697,10555
113,13881,8696,3684,15678,11991
114,16784,9722,2435,8951,16383
115,1611,8380,2771,4426,11387
116,7067,16254,10769,15372,14371
117,13408,14937,4146,8723,15678
118,6386,13963,3138,10377,148
119,13145,9881,11298,14371,9920
120,7976,13615,12018,16807,8464
121,14442,13614,13135,8449,16692
122,14442,13135,13614,2771,4426
123,6386,15100,3138,14251,10377
124,1951,4373,15102,5854,8253
125,13698,7260,7775,1048,10005
126,16857,9881,2771,2101,13593
127,13145,7067,7147,16254,9920
128,13509,6268,261,14514,5020
129,1951,9588,17342,11190,17377
130,13088,6300,16254,7067,11298
131,17649,16853,16695,9426,15100
132,13963,3138,10377,148,16321
133,6386,9193,3138,10377,9673
134,13036,8344,10912,6307,4837
135,4428,8089,12686,11342,14408
136,9193,16853,7327,2253,16259
137,13509,9177,6268,6801,14514
138,12941,8360,4428,11342,12686
139,1011,11672,12575,2939,9876
140,1611,8380,11121,6849,4376
141,1833,8665,16350,5282,9204
142,995,7397,13412,7557,217
143,8892,4428,12686,11342,9707
144,1951,12575,4305,3660,16019
145,5404,5632,148,15632,5381
146,9615,15799,12941,7870,8419
147,6386,3138,10377,9673,14065
148,15951,5027,3763,9680,3278
149,6386,17062,3138,16259,10377
150,9139,13135,13614,17167,10711
151,9193,2253,15140,10732,2463
152,6386,3138,15053,10377,9673
153,6386,3138,15140,6662,10377
154,13509,13989,6268,14514,5020
155,13509,11121,3077,9852,6268
156,5027,16695,232,3763,9680
157,5404,8665,12558,9204,14822
158,232,3820,1871,15227,240
159,9193,16853,8398,15140,5391
160,16051,7067,10485,7411,7560
161,6386,15100,3138,14251,10377
162,6386,15100,3138,15140,14251
163,16254,7067,11298,15372,14371
164,6386,3138,2851,10377,9095
165,3300,10149,8665,16350,7021
166,14371,1371,14711,6300,13145
167,13145,7067,4279,10250,7602
168,8892,8967,1951,8042,4428
169,16092,16385,10456,7371,3903
170,11121,11331,14796,11387,6849
171,9193,16853,15100,16259,15140
172,4785,3745,9289,13927,5578
173,9362,14615,1250,12694,1080
174,6386,3138,3614,4128,10377
175,10445,11733,7021,4428,12686
176,11333,12490,8665,12288,12558
177,13509,6268,14514,5020,6711
178,4254,15372,2435,4772,14136
179,4772,6268,12639,2789,15934
180,1781,2208,14654,7021,15842
181,6277,11269,5976,4943,13036
182,13509,3663,6268,14514,6948
183,6386,9193,3138,15140,10377
184,6386,3138,16259,10377,17457
185,1745,16269,1611,8380,10114
186,13145,14006,14371,9920,7602
187,1781,7021,15842,9853,5206
188,16138,9615,8892,11121,11733
189,4373,1951,15102,5854,6038
190,13145,16173,9920,7602,13088
191,8209,14294,10732,2463,7772
192,13509,7452,9599,6268,6801
193,5404,14924,8665,12558,9204
194,3138,11333,15674,5242,10377
195,15968,13963,6386,16321,14973
196,12795,5027,232,3763,148
197,9660,16092,4120,1784,9899
198,9881,11298,5573,16920,10305
199,9660,15482,16385,13417,11389
200,10769,15372,14371,4318,7057
201,17273,1781,16138,15638,16846
202,4943,4152,1719,12087,2921
203,15951,2142,3763,9680,11606
204,17342,17377,5366,3788,9673
205,2949,12575,2939,8550,16191
206,1951,4373,15102,5854,5819
207,4373,1951,13509,15102,5854
208,7637,16046,15258,11269,4093
209,15940,12694,12848,13325,2175
210,12575,9289,3745,6886,2939
211,6386,15053,10377,15794,16321
212,7147,9881,16254,7067,15372
213,14514,8749,13819,17027,11297
214,5027,16695,3763,11606,148
215,5918,13052,3306,12150,16269
216,11121,3077,9852,16655,4428
217,16863,995,10710,14837,4610
218,12288,12558,7119,5242,7371
219,15100,2142,4221,7577,11920
