,rec1,rec2,rec3,rec4,rec5
0,5282,16504,11790,11342,10696
1,10039,6035,17377,17005,15307
2,16890,654,13502,648,12496
3,10122,9289,8542,6888,5310
4,16092,3895,14392,6282,15602
5,10769,15053,15674,12812,13808
6,17633,555,960,9505,10079
7,5481,8789,13145,9328,2220
8,1951,4305,16019,11342,10234
9,5481,16254,17079,900,9328
10,2036,3278,10,148,1546
11,15100,3138,12142,3809,9673
12,7067,15100,13370,14251,17288
13,7147,9881,14006,4279,10250
14,11801,1951,4373,13317,15102
15,15322,17019,6418,13733,13575
16,15100,10769,10304,14346,15053
17,6386,15100,15053,9673,12079
18,15821,13570,15779,11930,2237
19,4093,5553,10912,5552,13596
20,352,357,526,715,15867
21,6386,3138,5715,6590,9673
22,9324,15442,1877,12361,17502
23,2355,13532,14303,6420,11337
24,1611,11387,17288,7017,1593
25,10769,6119,10234,6742,11808
26,15506,1686,1745,10966,4376
27,4564,4428,11342,10996,3010
28,12490,12542,16416,5242,16009
29,13509,6268,14514,5020,6420
30,10149,16504,6984,7124,8718
31,6632,11316,2052,4116,3486
32,1487,15821,6044,16810,2765
33,3767,12273,11154,12871,7644
34,232,148,5381,16726,8174
35,12575,3745,9289,2939,14879
36,6386,3138,9577,6590,10377
37,12288,12639,5242,15615,6328
38,9094,2160,5571,11145,17567
39,9324,15442,1877,12361,3468
40,10769,13896,1138,11145,4428
41,12666,10234,16117,4008,17022
42,10769,14654,9095,4428,4005
43,4785,12982,10031,7883,17044
44,12575,8058,2939,2752,12008
45,8035,17710,61,502,16091
46,4305,3660,1138,16019,11342
47,10769,15053,15674,11076,6083
48,10769,8173,15053,9095,4428
49,15100,3138,2022,13304,9673
50,14336,5282,2504,3027,6989
51,3763,148,6584,16726,2991
52,3190,10769,9444,7501,6119
53,6268,15176,13519,3475,2533
54,11790,2966,16112,7158,13519
55,7067,15372,8419,13088,10305
56,16695,10,148,5367,67
57,16350,8649,10879,5263,10037
58,7147,11298,14371,13384,5573
59,16264,10769,11453,14721,8522
60,7976,4943,13615,8956,11441
61,524,682,7501,9534,15867
62,13615,11201,1838,2901,8956
63,2368,7119,12639,7371,13427
64,9615,13018,1765,8419,12686
65,4468,1755,8013,2325,7375
66,17649,16259,15140,6662,17457
67,16695,2036,3278,10,148
68,15799,9615,15638,9147,8042
69,9458,9377,306,2851,14371
70,5370,6651,12639,5282,8663
71,15053,14346,15674,8795,11076
72,12490,12542,15674,5242,16009
73,6445,4146,8723,5570,5049
74,12795,232,3763,11606,148
75,9193,15100,3138,10377,14065
76,3908,11026,10222,11338,5398
77,15506,9213,9354,6849,16941
78,13475,17377,8151,1231,12181
79,5854,6139,10234,5623,4008
80,15638,15959,16667,9147,17534
81,9622,12686,16665,9707,3926
82,7017,2781,16472,7438,12150
83,10769,8951,8013,15674,2325
84,12666,5500,16117,5596,17022
85,13369,13719,13302,12079,16661
86,11756,15442,16914,1877,12361
87,6386,3138,6319,10377,11858
88,232,8126,148,14973,16321
89,10769,15053,15674,11076,14034
90,11298,11348,4279,15969,9920
91,15931,2021,17103,8013,8546
92,14055,12573,4847,2236,15734
93,9193,2022,10377,14065,11332
94,13584,14654,1487,15997,16412
95,2434,4110,9510,14527,7563
96,11563,11387,10966,1593,16269
97,4564,15498,6139,4174,11342
98,10577,11107,11638,8063,8021
99,16695,10769,15053,15674,11076
100,148,14942,5381,6584,7379
101,9147,11790,12686,11342,16112
